epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,15432,0.66464,1.00745,1.14777,0.73723,0.7578,0.82896,0.73376,0.53351,0.67063,1.15033,0.004456,0.004456,0.004456
58,15710,0.66418,1.00655,1.14449,0.74034,0.75758,0.82922,0.73472,0.5326,0.67024,1.14998,0.004357,0.004357,0.004357
59,15991.9,0.66183,1.00307,1.14465,0.74211,0.75917,0.82981,0.73559,0.53105,0.6686,1.1484,0.004258,0.004258,0.004258
60,16279.7,0.66309,1.00398,1.14452,0.73822,0.76262,0.82996,0.73595,0.53035,0.66825,1.14776,0.004159,0.004159,0.004159
61,16576.1,0.66145,0.9932,1.14543,0.72663,0.77379,0.83064,0.73687,0.5299,0.66726,1.14702,0.00406,0.00406,0.00406
62,16861.6,0.65886,0.99501,1.14258,0.72429,0.78083,0.83132,0.73765,0.52982,0.66606,1.14692,0.003961,0.003961,0.003961
63,17147.6,0.65828,0.98362,1.13922,0.72542,0.77667,0.83154,0.73778,0.52963,0.66529,1.14679,0.003862,0.003862,0.003862
64,17431.6,0.65765,0.98078,1.14198,0.72609,0.77751,0.8316,0.73777,0.52946,0.66508,1.14676,0.003763,0.003763,0.003763
65,17713.6,0.65609,0.98325,1.13944,0.72444,0.78528,0.83223,0.73789,0.52924,0.66393,1.14647,0.003664,0.003664,0.003664
66,17998.9,0.65261,0.97862,1.13962,0.72773,0.77734,0.83233,0.73814,0.52921,0.66347,1.14655,0.003565,0.003565,0.003565
67,18282.7,0.65135,0.97077,1.13783,0.73233,0.77459,0.83273,0.73829,0.5291,0.66375,1.14634,0.003466,0.003466,0.003466
68,18569.6,0.65095,0.97078,1.13571,0.72718,0.78111,0.83287,0.73839,0.52929,0.66411,1.14634,0.003367,0.003367,0.003367
