epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,606.894,0.62701,0.61313,0.97617,0.46585,0.67281,0.57065,0.43919,0.86009,1.53234,1.10898,0.000597031,0.000597031,0.000597031
106,612.867,0.59833,0.58461,0.92893,0.71475,0.61944,0.60657,0.4731,0.90553,1.42252,1.17096,0.000594031,0.000594031,0.000594031
107,618.688,0.61503,0.67456,0.95917,0.57073,0.70972,0.63636,0.49817,0.86649,1.38821,1.1291,0.000591032,0.000591032,0.000591032
108,624.574,0.61629,0.63359,0.93854,0.59582,0.62029,0.64477,0.50813,0.86161,1.46977,1.12393,0.000588032,0.000588032,0.000588032
109,630.341,0.57125,0.58442,0.93744,0.59339,0.65439,0.63584,0.49254,0.91268,1.37439,1.15505,0.000585032,0.000585032,0.000585032
110,636.218,0.59894,0.56552,0.91413,0.62479,0.54925,0.60589,0.46473,0.88447,1.46691,1.1384,0.000582033,0.000582033,0.000582033
111,642.143,0.60292,0.66646,0.94767,0.51758,0.68668,0.5969,0.45867,0.89925,1.50747,1.16555,0.000579033,0.000579033,0.000579033
112,648.043,0.60951,0.61029,0.94515,0.51647,0.57822,0.62837,0.48186,0.90479,1.30095,1.18157,0.000576033,0.000576033,0.000576033
113,653.934,0.63165,0.64603,0.96978,0.5538,0.69286,0.57803,0.43381,0.94164,1.40354,1.17612,0.000573034,0.000573034,0.000573034
114,659.803,0.57835,0.63558,0.94085,0.47493,0.58768,0.5604,0.42213,0.94569,1.679,1.2005,0.000570034,0.000570034,0.000570034
115,665.742,0.58814,0.61632,0.95124,0.48004,0.5282,0.51594,0.39274,0.90469,1.65317,1.16324,0.000567034,0.000567034,0.000567034
116,671.644,0.59172,0.59702,0.95029,0.50405,0.52507,0.57541,0.43346,0.9439,1.57655,1.21078,0.000564034,0.000564034,0.000564034
117,677.568,0.57399,0.56698,0.93881,0.52975,0.54525,0.57946,0.44353,0.88892,1.57426,1.14365,0.000561035,0.000561035,0.000561035
118,683.733,0.56244,0.56314,0.93845,0.50576,0.66331,0.60333,0.46171,0.87839,1.53396,1.12493,0.000558035,0.000558035,0.000558035
119,689.629,0.57581,0.58009,0.92036,0.52667,0.59592,0.63356,0.48968,0.89169,1.33583,1.12112,0.000555035,0.000555035,0.000555035
120,695.483,0.57362,0.57526,0.9359,0.41534,0.63803,0.59493,0.45006,0.94209,1.48444,1.18727,0.000552036,0.000552036,0.000552036
121,701.389,0.57947,0.60708,0.92935,0.4547,0.67943,0.6005,0.45439,0.86944,1.41072,1.15103,0.000549036,0.000549036,0.000549036
122,707.234,0.57064,0.57092,0.93292,0.65135,0.60041,0.67261,0.51927,0.84428,1.23189,1.12171,0.000546036,0.000546036,0.000546036
123,713.107,0.55692,0.50043,0.93207,0.49756,0.68194,0.63859,0.49314,0.83544,1.39359,1.11043,0.000543037,0.000543037,0.000543037
124,718.964,0.55589,0.50019,0.92391,0.5504,0.59132,0.62004,0.48461,0.87234,1.45084,1.14502,0.000540037,0.000540037,0.000540037
125,724.973,0.55413,0.53679,0.92311,0.49017,0.63654,0.56476,0.44095,0.89848,1.7336,1.16677,0.000537037,0.000537037,0.000537037
126,730.862,0.5776,0.58561,0.92627,0.52521,0.57709,0.57215,0.43554,0.89722,1.62974,1.22701,0.000534037,0.000534037,0.000534037
127,736.781,0.57259,0.57403,0.947,0.4693,0.59834,0.52382,0.39502,0.93338,1.84764,1.22529,0.000531038,0.000531038,0.000531038
128,742.608,0.62583,0.59952,0.97045,0.45201,0.50464,0.4939,0.36945,0.92981,1.75956,1.22551,0.000528038,0.000528038,0.000528038
129,748.475,0.58212,0.57544,0.92636,0.54442,0.61422,0.59854,0.46573,0.85956,1.53867,1.15564,0.000525038,0.000525038,0.000525038
130,754.282,0.53148,0.55544,0.91416,0.60967,0.60376,0.62602,0.487,0.87483,1.41901,1.12896,0.000522039,0.000522039,0.000522039
131,760.178,0.56076,0.54504,0.9295,0.61079,0.5226,0.62856,0.48742,0.83909,1.43037,1.13451,0.000519039,0.000519039,0.000519039
132,766.07,0.56448,0.55114,0.93563,0.45828,0.66028,0.61817,0.48731,0.84059,1.44429,1.11932,0.000516039,0.000516039,0.000516039
133,772.147,0.56653,0.50739,0.91999,0.42038,0.53014,0.56139,0.44686,0.81864,1.58206,1.10807,0.00051304,0.00051304,0.00051304
134,778.011,0.54236,0.55678,0.90642,0.43576,0.57572,0.56115,0.43455,0.84218,1.5018,1.13431,0.00051004,0.00051004,0.00051004
135,783.871,0.56017,0.5394,0.91982,0.49748,0.57705,0.54915,0.42556,0.87283,1.58456,1.14267,0.00050704,0.00050704,0.00050704
136,790.02,0.56229,0.53959,0.92716,0.63677,0.50601,0.6175,0.46942,0.90274,1.48649,1.16258,0.00050404,0.00050404,0.00050404
137,795.883,0.56707,0.55369,0.93007,0.40114,0.66054,0.59144,0.44853,0.89635,1.59285,1.18112,0.000501041,0.000501041,0.000501041
138,801.762,0.56077,0.54533,0.93084,0.43122,0.48161,0.53377,0.41069,0.89007,1.62786,1.13581,0.000498041,0.000498041,0.000498041
139,807.659,0.62797,0.63967,1.00635,0.50029,0.55337,0.57227,0.43998,0.84804,1.44867,1.13249,0.000495041,0.000495041,0.000495041
140,813.541,0.56384,0.49829,0.92183,0.54216,0.5136,0.60945,0.48197,0.87061,1.41884,1.13084,0.000492042,0.000492042,0.000492042
141,819.356,0.51893,0.51118,0.91694,0.58532,0.55647,0.62058,0.47758,0.87195,1.38964,1.14071,0.000489042,0.000489042,0.000489042
142,825.337,0.55939,0.54395,0.93378,0.45745,0.72536,0.62318,0.47837,0.87878,1.43849,1.14818,0.000486042,0.000486042,0.000486042
143,831.218,0.53644,0.53372,0.91391,0.51269,0.60885,0.578,0.45105,0.85662,1.49795,1.12707,0.000483043,0.000483043,0.000483043
144,837.129,0.53561,0.50821,0.91137,0.47619,0.48199,0.53302,0.40395,0.92248,1.66726,1.19199,0.000480043,0.000480043,0.000480043
145,842.89,0.55667,0.52572,0.93119,0.39048,0.5679,0.52034,0.41109,0.87565,1.71921,1.16454,0.000477043,0.000477043,0.000477043
146,848.716,0.53998,0.52579,0.91163,0.40134,0.59561,0.57732,0.44771,0.88542,1.57803,1.16384,0.000474043,0.000474043,0.000474043
147,854.518,0.5184,0.52808,0.91632,0.34715,0.61263,0.54135,0.42323,0.85506,1.7477,1.12891,0.000471044,0.000471044,0.000471044
148,860.325,0.5036,0.46163,0.90281,0.57504,0.63544,0.62487,0.49382,0.8555,1.66228,1.13349,0.000468044,0.000468044,0.000468044
149,866.071,0.53566,0.52782,0.9285,0.48462,0.63438,0.60373,0.46972,0.85209,1.62313,1.14077,0.000465044,0.000465044,0.000465044
150,871.886,0.51883,0.49964,0.91131,0.4824,0.64521,0.57452,0.4549,0.82855,1.51504,1.11245,0.000462045,0.000462045,0.000462045
151,877.732,0.55365,0.53042,0.9282,0.47928,0.70631,0.57219,0.4532,0.83453,1.49663,1.13083,0.000459045,0.000459045,0.000459045
152,883.562,0.53644,0.54846,0.9124,0.44755,0.59435,0.57415,0.4433,0.84996,1.49262,1.14146,0.000456045,0.000456045,0.000456045
153,889.367,0.53829,0.49937,0.91648,0.48679,0.63375,0.58709,0.46586,0.85074,1.47839,1.14747,0.000453046,0.000453046,0.000453046
